x1,y
0.140522,1.11E-04
0.2523194,4.42E-04
0.36004487,9.89E-04
0.46371305,1.75E-03
0.56374091,2.72E-03
0.66086686,3.91E-03
0.75605553,5.29E-03
0.85037416,6.88E-03
0.94486642,8.66E-03
1.04042244,1.06E-02
1.13764989,1.28E-02
1.23677731,1.51E-02
1.33756423,1.75E-02
1.4392544,2.01E-02
1.54056346,2.27E-02
1.63969851,2.54E-02
1.73442268,2.81E-02
1.82214642,3.07E-02
1.90006018,3.33E-02
1.9652729,0.035755992
2.01498246,3.80E-02
2.04663777,4.00E-02
2.05808783,4.18E-02
2.04772878,4.31E-02
2.01461434,4.41E-02
1.95853424,4.45E-02
1.88004756,4.44E-02
1.78048396,4.37E-02
1.66188252,4.23E-02
1.52690971,4.02E-02
1.37872756,3.73E-02
1.22082973,0.033529133
1.05687833,2.88E-02
0.89050704,2.31E-02
0.72513872,1.63E-02
0.56382281,8.39E-03
0.4090828,-7.17E-04
0.26280749,-1.11E-02
0.1261768,-2.27E-02
-0.00036337,-3.57E-02
-0.11708806,-5.01E-02
-0.2249288,-6.59E-02
-0.32537416,-8.30E-02
-0.4203366,-0.101653874
-0.5119946,-0.121663943
-0.60262358,-0.143040001
-0.69442081,-0.165729359
-0.78934669,-0.189659953
-0.88897401,-0.214739829
-0.99438196,-0.240856975
-1.10607004,-0.267879516
-1.2239182,-0.295656323
-1.34719253,-0.324017912
-1.47458732,-0.35277757
-1.60430193,-0.381732851
-1.73415315,-0.410667092
-1.86170149,-0.43935129
-1.9844048,-0.467545658
-2.09974694,-0.495001644
-2.20539236,-0.521463633
-2.2992878,-0.546670854
-2.37976551,-0.570358932
-2.44559765,-0.592261672
-2.49602103,-0.61211282
-2.53072381,-0.629647493
-2.54980302,-0.644604146
-2.55368257,-0.656726122
-2.54302001,-0.665763676
-2.5185883,-0.671475828
-2.48116565,-0.673632681
-2.43142009,-0.672017574
-2.3698163,-0.666429579
-2.29654813,-0.656686068
-2.21148705,-0.642625511
-2.11419368,-0.624109924
-2.00394297,-0.601027668
-1.87979484,-0.573295891
-1.7406956,-0.540862858
-1.58559942,-0.503709853
-1.41362441,-0.461853027
-1.22418463,-0.415344268
-1.01714361,-0.364272058
-0.79294217,-0.308761477
-0.55268538,-0.248973981
-0.29821318,-0.185106292
-0.03211647,-0.11738912
0.24229272,-4.61E-02
0.5210638,2.85E-02
0.79972601,0.106082998
1.07345927,0.18628116
1.33728719,0.26873821
1.58629656,0.353065312
1.81586456,0.438855469
2.02188277,0.525685549
2.20094752,0.613118112
2.35054278,0.700702846
2.4691565,0.787977755
2.55636263,0.874470472
2.61282778,0.959699094
2.64028263,1.043173432
2.64140844,1.124395967
2.61969638,1.202863455
2.57923818,1.278068781
2.52451587,1.34950304
2.46013761,1.416658282
2.39058924,1.479030967
2.32000685,1.536126018
2.2519381,1.587460756
2.18918872,1.632569909
2.13367581,1.671010852
2.08636069,1.702368736
2.04722929,1.726261616
2.01534986,1.74234581
1.98894608,1.750320554
1.96557653,1.74993217
1.94229984,1.740978003
1.9158957,1.723308802
1.88307893,1.696831107
1.84073591,1.661508203
1.78611565,1.617360592
1.71700859,1.564465523
1.63188457,1.502955794
1.52997684,1.43301785
1.41131365,1.35488975
1.27671134,1.268858075
1.12768829,1.175255895
0.96636331,1.074458957
0.79530478,0.966883957
0.61735618,0.852985203
0.43544149,0.733252645
0.25239521,0.608209729
0.07078192,0.478411287
-0.10724569,0.344442338
-0.28005689,0.206916258
-0.44660884,6.65E-02
-0.60646045,-7.62E-02
-0.75975543,-0.22047165
-0.90713745,-0.36557135
-1.04964221,-0.51078546
-1.18855572,-0.655364037
-1.32525253,-0.798542976
-1.46101618,-0.939548075
-1.59688079,-1.077599287
-1.73347664,-1.211916089
-1.87091637,-1.341722608
-2.00869489,-1.466253757
-2.14566875,-1.584761977
-2.28004622,-1.696523309
-2.40944839,-1.800844193
-2.53101659,-1.897067666
-2.64154339,-1.984580159
-2.737638,-2.062816858
-2.81594157,-2.131266832
-2.87328911,-2.189477682
-2.90694642,-2.237058878
-2.91474223,-2.273685217
-2.89525509,-2.299097776
-2.84789801,-2.313105822
-2.772995,-2.315585613
-2.67178679,-2.306480408
-2.54640508,-2.285798788
-2.39976811,-2.25361228
-2.23546076,-2.21005249
-2.05756927,-2.155308008
-1.87046337,-2.089621305
-1.67861128,-2.013285398
-1.48634219,-1.926639676
-1.29764843,-1.830067754
-1.11600018,-1.723994017
-0.94418371,-1.608881116
-0.78419042,-1.485227942
-0.63714951,-1.3535676
-0.50330257,-1.214465857
-0.38203466,-1.068520308
-0.27194351,-0.916358888
-0.17097051,-0.758639336
-0.07652952,-0.596048057
0.01429329,-0.429299116
0.1045702,-0.259132892
0.19732788,-8.63E-02
0.29535675,0.088368647
0.40105751,0.264109105
0.51627952,0.440082997
0.64222705,0.61545372
0.77937448,0.789376438
0.92743689,0.961002827
1.0853852,1.129486561
1.2514745,1.293989182
1.42334974,1.45368576
1.5981257,1.607771039
1.77253902,1.755465508
1.94307601,1.896021008
2.10613418,2.028726339
2.25816011,2.152912617
2.39578795,2.267957449
2.51596951,2.373289347
2.6160605,2.468390465
2.69391394,2.552800655
2.74792361,2.626117945
2.7770586,2.688001394
2.78085446,2.738171339
2.75939751,2.776409864
2.7132957,2.802560329
2.64361644,2.816527605
