x1,y
1.17509639,0
1.23801196,-1.72E-06
1.29163408,-1.38E-05
1.33610737,-4.73E-05
1.37199342,-1.15E-04
1.4001919,-2.30E-04
1.42184281,-4.10E-04
1.43821239,-6.75E-04
1.45055997,-1.05E-03
1.46001732,-1.56E-03
1.46746492,-2.24E-03
1.4734292,-3.13E-03
1.47800446,-4.27E-03
1.4808079,-5.71E-03
1.48096454,-7.50E-03
1.47713065,-9.69E-03
1.46756077,-1.24E-02
1.4501971,-1.55E-02
1.42279863,-1.93E-02
1.38307905,-2.37E-02
1.32886517,-2.88E-02
1.2582618,-3.46E-02
1.16978419,-4.12E-02
1.06250763,-4.87E-02
0.93615705,-5.70E-02
0.79117864,-6.62E-02
0.62876797,-7.64E-02
0.45085403,-8.74E-02
0.2600356,-9.94E-02
0.05948823,-0.112315141
-0.14717792,-0.126112834
-0.35607517,-0.140784338
-0.56321812,-0.156295255
-0.76471496,-0.172602475
-0.95694494,-0.189654201
-1.13672924,-0.207389861
-1.30146682,-0.225739941
-1.44924653,-0.244625747
-1.57890916,-0.26395905
-1.69006753,-0.283641607
-1.78308749,-0.303564757
-1.8590107,-0.323608965
-1.91945493,-0.343643337
-1.96647286,-0.363525391
-2.00238848,-0.383100837
-2.02962828,-0.402203679
-2.05053926,-0.420656562
-2.06724119,-0.438271314
-2.08146834,-0.454849899
-2.09446287,-0.470185697
-2.10690737,-0.484065056
-2.11888218,-0.496269107
-2.12987089,-0.506575882
-2.13882184,-0.514762759
-2.14421296,-0.520608842
-2.14418316,-0.523897767
-2.13666344,-0.524420202
-2.11952066,-0.52197659
-2.09070277,-0.516379654
-2.04839659,-0.507457018
-1.99111986,-0.495053411
-1.91783297,-0.479032785
-1.82798958,-0.459280372
-1.72156811,-0.43570435
-1.59905636,-0.408237517
-1.46139956,-0.376838684
-1.3099283,-0.341493845
-1.14625716,-0.302217454
-0.9721722,-0.259053409
-0.78950763,-0.212076068
-0.60003018,-0.161391109
-0.40535003,-0.107136287
-0.20682859,-0.049482174
-0.0055385,1.14E-02
0.19775514,0.075174518
0.40256917,0.141668066
0.60866112,0.210542917
0.8159402,0.28146109
1.02436113,0.354052573
1.2338084,0.427916944
1.44397628,0.502625465
1.65424442,0.577723622
1.86357999,0.652734458
2.07046914,0.727162361
2.27286839,0.800497293
2.46821308,0.872219443
2.6534574,0.94180423
2.82515335,1.008727789
2.97959161,1.072471857
3.11294651,1.132529378
3.22147036,1.188409448
3.30168676,1.239641786
3.35058689,1.285781384
3.36582613,1.326411963
3.34587741,1.361149073
3.29015684,1.389642954
3.19911838,1.411580205
3.07427597,1.426685095
2.9181664,1.434720159
2.73427773,1.435487032
2.52692294,1.428825855
2.30102611,1.414615512
2.06193733,1.392773151
1.81517136,1.363254189
1.56615257,1.326051593
1.31998372,1.281196356
1.0811981,1.228757501
0.85357445,1.168843031
0.63998705,1.101600289
0.4422918,1.027217269
0.26130891,0.945923805
0.09682893,0.857992709
-0.05229822,0.763741136
-0.18803635,0.663531542
-0.31297663,0.557772577
-0.43012989,0.446919233
-0.54269755,0.331472903
-0.65382951,0.211980507
-0.76640302,8.90E-02
-0.88281924,-3.67E-02
-1.00483525,-0.164657801
-1.13344944,-0.294022828
-1.26882911,-0.424094826
-1.41030526,-0.554110885
-1.55640936,-0.683288276
-1.70497799,-0.810830235
-1.85328388,-0.935932457
-1.99821687,-1.057789803
-2.13647032,-1.175602555
-2.26474118,-1.28858304
-2.37993693,-1.395962358
-2.47935677,-1.496995807
-2.56081295,-1.590969086
-2.62276983,-1.677203059
-2.66438031,-1.755058885
-2.6855197,-1.823942304
-2.68673038,-1.883307457
-2.66916108,-1.932659864
-2.63442421,-1.971559763
-2.58446455,-1.999624491
-2.52139497,-2.016531229
-2.44731283,-2.022017717
-2.36415315,-2.015885353
-2.27352381,-1.998000026
-2.1766057,-1.968293786
-2.07408452,-1.926766038
-1.96609521,-1.873484612
-1.85226142,-1.808586597
-1.73173237,-1.732279539
-1.60329902,-1.644841194
-1.46552372,-1.546620369
-1.31689382,-1.438036084
-1.15600002,-1.319577098
-0.98170882,-1.191800356
-0.79332352,-1.055329084
-0.59071916,-0.910850048
-0.3744536,-0.759110391
-0.14582585,-0.600913167
0.09310022,-0.437112361
0.33954254,-0.268607646
0.59006768,-9.63E-02
0.84072536,0.07872574
1.08720648,0.255586386
1.32504034,0.433229595
1.54979169,0.610630751
1.75728309,0.786762714
1.94378519,0.960603476
2.10620999,1.131143332
2.24224329,1.297391772
2.35046649,1.458384156
2.43041205,1.613187313
2.48257065,1.760905027
2.5083375,1.900683045
2.50993896,2.03171277
2.49027896,2.153235435
2.45278001,2.264544249
2.40117979,2.364989042
2.33932948,2.453977108
2.27095962,2.530976057
2.19952178,2.595515728
2.12796736,2.647191286
2.05862761,2.6856637
1.99310195,2.710662603
1.93218386,2.721989155
1.87586522,2.719517231
1.82335246,2.703195333
1.77315855,2.673049212
1.72320187,2.629183531
1.67096412,2.571783066
1.61365032,2.50111413
1.54837847,2.417524576
1.47234988,2.321444511
1.3830359,2.213384628
1.27831793,2.093935728
1.15663064,1.963765264
1.01706064,1.82361412
0.8593989,1.674292564
0.68418396,1.516674638
0.49267316,1.351692319
0.28681579,1.180328608
0.06915738,1.003609776
-0.15724966,0.822597146
-0.38897124,0.638378441
-0.62232345,0.452058941
-0.85350698,0.264752001
-1.07874501,7.76E-02
-1.29441202,-0.108384036
-1.49713349,-0.292026669
-1.68390036,-0.472301126
-1.85211337,-0.64818573
-1.99966645,-0.818701088
-2.12494802,-0.982916713
-2.22686815,-1.139956713
-2.3048296,-1.289004803
-2.35871959,-1.429308653
-2.38885999,-1.560183167
-2.39595938,-1.681013107
-2.38106108,-1.791254997
-2.34549046,-1.890438318
-2.29080224,-1.978165865
-2.21871352,-2.054113388
-2.13108444,-2.118029833
-2.02984619,-2.169735193
-1.91699374,-2.209119797
-1.79453146,-2.236141682
-1.6644603,-2.250825167
-1.5287621,-2.253258228
-1.38935208,-2.243590117
-1.24808693,-2.222028017
-1.10673213,-2.188835382
-0.96695,-2.144328117
-0.83026826,-2.088872671
-0.69806981,-2.022881985
-0.57155478,-1.946813226
