x1,y
0,0
0.28853247,2.41E-04
0.39645243,9.71E-04
0.49964994,2.20E-03
0.59814024,3.93E-03
0.69234169,6.16E-03
0.78299832,8.89E-03
0.87107867,1.21E-02
0.95766175,1.58E-02
1.04379976,1.99E-02
1.13039625,2.44E-02
1.21807957,2.93E-02
1.30709684,3.45E-02
1.39723408,4.00E-02
1.48776841,4.57E-02
1.57744741,5.15E-02
1.66452515,5.74E-02
1.74680591,6.32E-02
1.82175934,6.89E-02
1.88663018,7.44E-02
1.93859363,7.96E-02
1.97491539,8.44E-02
1.99311459,8.87E-02
1.99111605,9.23E-02
1.9673959,9.52E-02
1.92108572,9.73E-02
1.85205555,9.84E-02
1.7609427,0.098559171
1.64914954,9.76E-02
1.51879108,9.54E-02
1.37260056,9.19E-02
1.21380138,8.70E-02
1.04595256,8.07E-02
0.87276214,7.29E-02
0.69790864,6.36E-02
0.52485967,5.26E-02
0.35669446,4.01E-02
0.19596694,2.58E-02
0.04458815,9.91E-03
-0.09624025,-7.70E-03
-0.22605897,-2.70E-02
-0.34512725,-4.79E-02
-0.45436674,-7.04E-02
-0.55525547,-9.45E-02
-0.64969558,-0.120148957
-0.73985702,-0.147154599
-0.82800519,-0.175459728
-0.91632813,-0.204939276
-1.00677669,-0.235448971
-1.10091639,-0.266825378
-1.19981682,-0.298886299
-1.30396903,-0.331431389
-1.41325092,-0.364243269
-1.52692735,-0.397088677
-1.6436913,-0.429720163
-1.76174951,-0.461877853
-1.8789283,-0.493291408
-1.99280715,-0.523682296
-2.10086322,-0.552766025
-2.20061255,-0.580254376
-2.28975058,-0.605858028
-2.36627555,-0.629288673
-2.42856717,-0.650261402
-2.47545743,-0.668497026
-2.506253,-0.683724105
-2.52071762,-0.695681334
-2.51903558,-0.704119325
-2.50172496,-0.708802819
-2.46954894,-0.709512651
-2.42339277,-0.706047773
-2.36416054,-0.698227167
-2.29265308,-0.685891986
-2.2094717,-0.668907762
-2.11496162,-0.647166133
-2.00915551,-0.62058717
-1.89177644,-0.589121401
-1.76227117,-0.552751422
